50 174
0 1 69
0 2 80
0 3 86
0 4 97
0 5 61
0 6 82
0 7 79
0 8 76
0 9 69
0 10 82
0 11 75
0 12 88
0 13 70
0 14 82
0 15 101
0 16 92
0 17 90
0 18 84
0 19 92
0 20 77
0 21 81
0 22 80
0 23 70
0 24 95
0 25 89
0 26 93
0 27 82
0 28 73
0 29 89
0 30 85
0 31 69
0 32 72
0 33 83
0 34 87
0 35 84
0 36 75
0 37 75
0 38 86
0 39 87
0 40 90
0 41 73
0 42 81
0 43 84
0 44 77
0 45 72
0 46 69
0 47 87
0 48 89
0 49 66
1 17 2
1 33 62
1 35 67
1 49 82
2 49 97
3 13 61
3 15 1
3 32 73
3 49 92
4 20 73
4 44 7
4 49 90
5 3 61
5 34 72
5 49 86
6 25 70
6 36 3
6 49 79
7 33 2
7 36 71
7 49 86
8 49 76
9 41 69
9 49 90
10 49 94
11 49 78
12 3 74
12 9 73
12 16 3
12 49 85
13 20 70
13 49 61
14 5 4
14 7 4
14 28 1
14 43 73
14 49 71
15 5 74
15 6 70
15 20 20
15 43 2
15 49 78
16 49 97
17 49 92
18 49 84
19 22 72
19 49 92
20 34 73
20 40 1
20 46 70
20 49 98
21 49 97
22 38 72
22 49 81
23 4 73
23 49 70
24 2 15
24 49 80
25 5 72
25 46 17
25 49 70
26 11 3
26 21 16
26 35 74
26 49 67
27 49 91
28 49 81
29 12 73
29 16 2
29 27 9
29 41 5
29 49 71
30 3 6
30 49 79
31 2 2
31 7 1
31 26 67
31 40 72
31 49 72
32 1 71
32 22 1
32 49 73
33 47 73
33 49 74
34 7 1
34 10 12
34 19 72
34 36 73
34 49 74
35 7 74
35 12 74
35 37 2
35 49 80
36 29 71
36 31 73
36 49 78
37 44 70
37 49 77
38 31 72
38 49 86
39 28 7
39 49 80
40 9 17
40 23 73
40 46 3
40 49 70
41 14 69
41 20 2
41 49 76
42 5 1
42 46 1
42 49 79
43 1 73
43 49 86
44 15 69
44 49 85
45 35 5
45 49 67
46 37 70
46 49 90
47 14 2
47 15 73
47 49 85
48 5 7
48 49 82
