50 154
0 1 84
0 2 86
0 3 74
0 4 88
0 5 83
0 6 86
0 7 82
0 8 79
0 9 78
0 10 91
0 11 99
0 12 75
0 13 84
0 14 78
0 15 76
0 16 97
0 17 69
0 18 85
0 19 69
0 20 85
0 21 86
0 22 74
0 23 104
0 24 85
0 25 92
0 26 91
0 27 85
0 28 69
0 29 68
0 30 81
0 31 67
0 32 101
0 33 81
0 34 86
0 35 76
0 36 74
0 37 79
0 38 81
0 39 100
0 40 74
0 41 62
0 42 78
0 43 90
0 44 80
0 45 91
0 46 86
0 47 92
0 48 58
0 49 82
1 8 68
1 49 87
2 49 88
3 49 81
4 13 67
4 17 73
4 19 1
4 43 2
4 49 85
5 49 91
6 3 7
6 14 2
6 49 77
7 49 83
8 21 68
8 30 1
8 49 78
9 4 67
9 49 83
10 31 73
10 43 69
10 49 93
11 12 2
11 44 14
11 49 83
12 49 77
13 36 2
13 37 11
13 40 70
13 49 68
14 49 80
15 38 2
15 41 4
15 49 71
16 30 6
16 49 91
17 10 70
17 49 72
18 24 4
18 49 81
19 49 91
20 9 4
20 22 8
20 49 73
21 4 73
21 29 5
21 45 68
21 49 81
22 49 82
23 15 1
23 40 27
23 49 76
24 49 91
25 10 2
25 49 90
26 48 7
26 49 84
27 49 87
28 49 85
29 1 68
29 49 81
30 21 73
30 29 1
30 49 88
31 9 67
31 38 70
31 49 85
32 9 1
32 29 2
32 35 16
32 49 82
33 49 87
34 5 8
34 7 1
34 27 2
34 49 75
35 49 92
36 30 74
36 49 64
37 49 90
38 10 72
38 49 81
39 1 3
39 2 1
39 31 12
39 49 84
40 31 70
40 49 101
41 36 62
41 49 81
42 49 86
43 2 1
43 28 16
43 29 73
43 49 71
44 49 94
45 33 6
45 41 77
45 42 8
45 49 68
46 24 2
46 49 84
47 19 21
47 49 71
48 49 65
